Order_ID,Customer_ID,Date,Customer_Age,Gender,City,Department,Product,Category,Quantity,Unit_Price,Discount_Percent,Payment_Method,Order_Status,Rating,Delivery_Days,Employee_Experience,Gross_Amount,Discount_Amount,Net_Amount
ORD10001,CUST1001,2024-01-01,56.0,Male,Lahore,IT,Mouse,Office,6,105836.96,7.97,Cash,Completed,4.1,7.0,1,635021.76,50611.23,584410.53
ORD10002,CUST1002,2024-01-01,46.0,Female,Multan,HR,Headphones,Office,7,196373.45,26.87,Cash,Completed,1.4,1.0,9,1374614.15,369358.82,1005255.33
ORD10003,CUST1003,2024-01-02,32.0,Male,Burewala,Sales,Webcam,Electronics,4,49330.3,3.1,Cash,Returned,3.1,14.0,12,197321.2,6116.96,191204.24
ORD10004,CUST1004,2024-01-03,60.0,Female,Gujranwala,Sales,Tablet,Electronics,1,205153.2,19.7,JazzCash,Completed,1.9,7.0,13,205153.2,40415.18,164738.02
ORD10005,CUST1005,2024-01-04,25.0,Male,Karachi,Finance,Phone,Office,1,162362.4,27.21,EasyPaisa,Pending,1.7,4.0,15,162362.4,44178.81,118183.59
ORD10006,CUST1006,2024-01-05,38.0,Male,Karachi,Operations,Tablet,Electronics,6,105032.96,5.06,Bank Transfer,Completed,4.2,5.0,5,630197.76,31888.01,598309.75
ORD10007,CUST1007,2024-01-06,56.0,Female,Rawalpindi,Sales,Webcam,Office,7,114778.14,29.05,JazzCash,Completed,1.5,8.0,1,803446.98,233401.35,570045.63
ORD10008,CUST1008,2024-01-07,36.0,Female,Islamabad,Operations,Headphones,Office,4,64533.48,13.59,JazzCash,Completed,2.9,4.0,2,258133.92,35080.4,223053.52
ORD10009,CUST1009,2024-01-08,40.0,Female,Rawalpindi,Operations,Webcam,Electronics,2,188152.53,28.37,EasyPaisa,Completed,4.8,4.0,0,376305.06,106757.75,269547.31
ORD10010,CUST1010,2024-01-09,28.0,Female,Peshawar,Finance,Phone,Electronics,5,128462.25,20.3,JazzCash,Cancelled,1.7,8.0,4,642311.25,130389.18,511922.07
ORD10011,CUST1011,2024-01-10,28.0,Male,Lahore,Finance,Keyboard,Accessories,5,80553.21,9.05,Cash,Completed,4.9,,8,402766.05,36450.33,366315.72
ORD10012,CUST1012,2024-01-11,41.0,Female,Multan,Finance,Monitor,Accessories,3,149214.5,5.65,Cash,Completed,5.0,13.0,1,447643.5,25291.86,422351.64
ORD10013,CUST1013,2024-01-12,53.0,Male,Islamabad,Sales,Phone,Accessories,4,248935.75,9.11,Card,Cancelled,3.2,6.0,11,995743.0,90712.19,905030.81
ORD10014,CUST1014,2024-01-13,,Male,Burewala,Finance,Webcam,Office,7,109097.94,2.79,JazzCash,Completed,1.7,12.0,6,763685.58,21306.83,742378.75
ORD10015,CUST1015,2024-01-14,41.0,Female,Peshawar,Sales,Webcam,Electronics,3,230212.5,4.32,Card,Completed,2.3,11.0,4,690637.5,29835.54,660801.96
ORD10016,CUST1016,2024-01-15,20.0,Male,Burewala,Finance,Mouse,Office,6,86581.7,3.14,Bank Transfer,Completed,2.7,14.0,1,519490.2,16311.99,503178.21
ORD10017,CUST1017,2024-01-16,39.0,Male,Karachi,Marketing,Mouse,Electronics,7,14155.81,12.69,Cash,Pending,2.2,5.0,7,99090.67,12574.61,86516.06
ORD10018,CUST1018,2024-01-17,19.0,Male,Karachi,Operations,Printer,Office,3,51458.41,23.87,Bank Transfer,Completed,2.1,1.0,10,154375.23,36849.37,117525.86
ORD10019,CUST1019,2024-01-17,41.0,Male,Rawalpindi,Finance,Mouse,Accessories,1,104964.44,4.24,EasyPaisa,Completed,4.9,7.0,14,104964.44,4450.49,100513.95
ORD10020,CUST1020,2024-01-18,61.0,Female,Lahore,IT,Laptop,Accessories,5,55298.91,3.91,Cash,Completed,1.6,6.0,12,276494.55,10810.94,265683.61
ORD10021,CUST1021,2024-01-19,47.0,Female,Islamabad,Operations,Monitor,Accessories,7,556.65,19.3,Bank Transfer,Returned,3.9,2.0,12,3896.55,752.03,3144.52
