Department,City,sum,mean,std
Finance,Burewala,1890072.47,111180.73352941177,51621.73819293823
Finance,Faisalabad,1139526.25,81394.73214285714,59856.092384059564
Finance,Gujranwala,1219014.4700000002,121901.44700000001,77359.74032557207
Finance,Islamabad,1653022.29,118073.02071428571,71493.07540425181
Finance,Karachi,3713964.08,154748.50333333333,65534.37158702242
Finance,Lahore,2765142.47,138257.12350000002,66516.58841342814
Finance,Multan,2475458.4399999995,117878.97333333331,68562.18183600728
Finance,Peshawar,1922635.48,120164.7175,79439.04916882365
Finance,Rawalpindi,2741233.3999999994,105432.05384615382,70122.8189806866
Finance,Sialkot,1708591.4599999997,113906.09733333331,57488.96890359894
HR,Burewala,1787873.05,127705.21785714287,74001.67560403125
HR,Faisalabad,2100457.9,110550.41578947369,70423.23879828323
HR,Gujranwala,2583051.9499999993,129152.59749999996,67636.30344242527
HR,Islamabad,2455482.27,144440.13352941177,74986.31721064443
HR,Karachi,2039937.7300000002,119996.33705882354,69938.44647600343
HR,Lahore,3181048.2500000005,151478.4880952381,80751.15891256969
HR,Multan,1745104.8000000003,134238.8307692308,72080.02983937309
HR,Peshawar,2504571.26,125228.563,79922.70071485924
HR,Rawalpindi,2352547.5,123818.28947368421,71979.71153989066
HR,Sialkot,1588269.5699999998,105884.63799999999,72665.27295258813
IT,Burewala,1467752.1,97850.14,73922.66836332988
IT,Faisalabad,1373894.1400000001,124899.46727272728,55410.1234787691
IT,Gujranwala,1851271.26,115704.45375,69533.13369088204
IT,Islamabad,1777046.28,118469.75200000001,84686.72739955616
IT,Karachi,1942526.7300000002,129501.78200000002,62431.086428008
IT,Lahore,2403052.4499999997,141356.02647058823,70332.71368508725
IT,Multan,1305531.08,93252.22,61772.26019888771
IT,Peshawar,1660041.2199999997,138336.7683333333,87087.35646239115
IT,Rawalpindi,2063492.18,147392.29857142858,86001.35410972848
IT,Sialkot,2136709.19,142447.27933333334,64555.53346312197
Marketing,Burewala,1626091.5199999998,108406.10133333332,68698.75921613973
Marketing,Faisalabad,2761329.45,125514.975,85530.873279461
Marketing,Gujranwala,1650550.0100000002,110036.66733333335,72770.91012004393
Marketing,Islamabad,1684234.6500000001,140352.8875,60511.70547871779
Marketing,Karachi,1615524.4699999997,107701.63133333331,71708.78194304682
Marketing,Lahore,1938521.7500000002,107695.6527777778,56350.27195605939
Marketing,Multan,1761682.5300000003,110105.15812500002,70610.79225528738
Marketing,Peshawar,3357422.0500000003,139892.58541666667,71944.29136345508
Marketing,Rawalpindi,1612057.4,107470.49333333333,67791.84969909335
Marketing,Sialkot,1719888.8899999997,122849.2064285714,71259.51122952606
Operations,Burewala,2196608.2,137288.0125,71987.9336066274
Operations,Faisalabad,1778827.5299999998,127059.10928571426,71110.42978544132
Operations,Gujranwala,2186770.57,121487.25388888888,58895.92463946089
Operations,Islamabad,1750585.7999999998,109411.61249999999,63671.67655630607
Operations,Karachi,2921404.1399999997,121725.17249999999,69298.5219301305
Operations,Lahore,1317123.43,164640.42875,45146.71077322174
Operations,Multan,2357973.44,130998.52444444444,70277.59449622026
Operations,Peshawar,1997600.9999999998,153661.61538461538,56871.90089710446
Operations,Rawalpindi,2045706.39,120335.67,72967.44093028801
Operations,Sialkot,2757200.94,153177.83,57744.79373497772
Sales,Burewala,1999428.12,99971.406,67255.23050507369
Sales,Faisalabad,3243534.07,120130.89148148148,71902.0905243932
Sales,Gujranwala,2005388.57,143242.04071428571,66596.17065379108
Sales,Islamabad,2649659.7399999998,126174.27333333332,78605.31365059437
Sales,Karachi,1906889.8599999999,136206.41857142857,73847.34479261235
Sales,Lahore,1438642.4,119886.86666666665,70539.20020958481
Sales,Multan,2755933.0799999996,131234.90857142856,80324.83451980888
Sales,Peshawar,1332435.1400000001,121130.46727272728,77856.5587633314
Sales,Rawalpindi,1645413.6699999997,86600.71947368419,48224.527446114465
Sales,Sialkot,1784644.09,104979.06411764707,65951.12276730005
