City,Department,Product,Unit_Price
Burewala,Finance,Headphones,137867.37
Burewala,Finance,Keyboard,161659.01
Burewala,Finance,Laptop,391151.98
Burewala,Finance,Mouse,330530.38
Burewala,Finance,Phone,51281.95
Burewala,Finance,Smartwatch,253980.25
Burewala,Finance,Tablet,345372.21
Burewala,Finance,Webcam,218229.32
Burewala,HR,Headphones,121223.12
Burewala,HR,Keyboard,149237.59
Burewala,HR,Laptop,123722.72
Burewala,HR,Monitor,326619.08
Burewala,HR,Mouse,319329.72
Burewala,HR,Phone,307749.42000000004
Burewala,HR,Printer,184237.18
Burewala,HR,Webcam,255754.22
Burewala,IT,Headphones,212770.2
Burewala,IT,Keyboard,206684.38
Burewala,IT,Monitor,239555.46
Burewala,IT,Mouse,11253.48
Burewala,IT,Phone,145726.5
Burewala,IT,Printer,215926.13999999998
Burewala,IT,Smartwatch,180237.47
Burewala,IT,Tablet,185536.01
Burewala,IT,Webcam,70062.45999999999
Burewala,Marketing,Headphones,14214.09
Burewala,Marketing,Keyboard,155990.99
Burewala,Marketing,Laptop,134829.55
Burewala,Marketing,Monitor,50847.84
Burewala,Marketing,Mouse,275291.37
Burewala,Marketing,Printer,527347.14
Burewala,Marketing,Smartwatch,372958.7
Burewala,Marketing,Webcam,94611.84
Burewala,Operations,Laptop,170937.01
Burewala,Operations,Mouse,435965.89999999997
Burewala,Operations,Phone,14527.96
Burewala,Operations,Printer,284917.38
Burewala,Operations,Tablet,404311.06
Burewala,Operations,Webcam,885948.89
Burewala,Sales,Headphones,47937.13
Burewala,Sales,Keyboard,61376.83
Burewala,Sales,Laptop,106290.61
Burewala,Sales,Monitor,255736.89
Burewala,Sales,Mouse,194267.93
Burewala,Sales,Phone,468120.67000000004
Burewala,Sales,Printer,62811.17
Burewala,Sales,Smartwatch,348544.97
Burewala,Sales,Tablet,157016.7
Burewala,Sales,Webcam,297325.22
Faisalabad,Finance,Headphones,176778.46
Faisalabad,Finance,Keyboard,510258.83999999997
Faisalabad,Finance,Monitor,735.38
Faisalabad,Finance,Mouse,60580.55
Faisalabad,Finance,Phone,102591.06
Faisalabad,Finance,Printer,111099.70999999999
Faisalabad,Finance,Smartwatch,147239.24
Faisalabad,Finance,Tablet,30243.01
Faisalabad,HR,Headphones,10460.67
Faisalabad,HR,Keyboard,228755.07
Faisalabad,HR,Laptop,275563.5
Faisalabad,HR,Monitor,41256.94
Faisalabad,HR,Mouse,229961.76
Faisalabad,HR,Phone,358364.82
Faisalabad,HR,Smartwatch,629831.89
Faisalabad,HR,Tablet,326263.25
Faisalabad,IT,Headphones,176110.21000000002
Faisalabad,IT,Keyboard,160545.85
Faisalabad,IT,Laptop,172098.42
Faisalabad,IT,Monitor,136895.98
Faisalabad,IT,Mouse,300534.61
Faisalabad,IT,Smartwatch,282550.76
Faisalabad,IT,Tablet,145158.31
Faisalabad,Marketing,Headphones,435017.53
Faisalabad,Marketing,Keyboard,10296.63
Faisalabad,Marketing,Laptop,229888.67
Faisalabad,Marketing,Monitor,237997.34
Faisalabad,Marketing,Mouse,149267.91999999998
Faisalabad,Marketing,Phone,377308.93000000005
Faisalabad,Marketing,Printer,305125.45
Faisalabad,Marketing,Smartwatch,246294.89
Faisalabad,Marketing,Tablet,684285.77
Faisalabad,Marketing,Webcam,85846.32
Faisalabad,Operations,Headphones,514648.64
Faisalabad,Operations,Keyboard,198376.24
Faisalabad,Operations,Laptop,334472.06
Faisalabad,Operations,Monitor,188829.45
Faisalabad,Operations,Mouse,255539.13999999998
Faisalabad,Operations,Printer,3123.05
Faisalabad,Operations,Tablet,142517.01
Faisalabad,Operations,Webcam,141321.94
Faisalabad,Sales,Headphones,214863.69
Faisalabad,Sales,Keyboard,369662.43
Faisalabad,Sales,Laptop,56677.68
Faisalabad,Sales,Monitor,710533.15
Faisalabad,Sales,Mouse,210166.87
Faisalabad,Sales,Phone,444009.22
Faisalabad,Sales,Smartwatch,571518.86
Faisalabad,Sales,Tablet,38709.55
Faisalabad,Sales,Webcam,627392.62
Gujranwala,Finance,Headphones,686382.44
Gujranwala,Finance,Laptop,203045.78
Gujranwala,Finance,Monitor,10467.02
Gujranwala,Finance,Mouse,155248.59
Gujranwala,Finance,Phone,82680.13
Gujranwala,Finance,Printer,67065.24
Gujranwala,Finance,Smartwatch,14125.27
Gujranwala,HR,Headphones,16786.55
Gujranwala,HR,Keyboard,407770.56
Gujranwala,HR,Laptop,682426.47
Gujranwala,HR,Monitor,120909.01
Gujranwala,HR,Mouse,215808.43
Gujranwala,HR,Printer,330988.58
Gujranwala,HR,Smartwatch,633250.67
Gujranwala,HR,Tablet,100295.76
Gujranwala,HR,Webcam,74815.92
Gujranwala,IT,Headphones,307338.38
Gujranwala,IT,Keyboard,284989.89
Gujranwala,IT,Laptop,194622.55
Gujranwala,IT,Mouse,437869.37
Gujranwala,IT,Phone,86071.26
Gujranwala,IT,Smartwatch,162011.86
Gujranwala,IT,Webcam,378367.95
Gujranwala,Marketing,Headphones,60779.52
Gujranwala,Marketing,Keyboard,144605.41
Gujranwala,Marketing,Laptop,423824.20999999996
Gujranwala,Marketing,Mouse,262198.16
Gujranwala,Marketing,Printer,138754.45
Gujranwala,Marketing,Smartwatch,250876.30000000002
Gujranwala,Marketing,Tablet,369511.96
Gujranwala,Operations,Headphones,322234.69999999995
Gujranwala,Operations,Keyboard,303067.11
Gujranwala,Operations,Laptop,100768.13
Gujranwala,Operations,Monitor,152785.57
Gujranwala,Operations,Phone,393456.61
Gujranwala,Operations,Printer,247686.2
Gujranwala,Operations,Smartwatch,190128.71
Gujranwala,Operations,Tablet,141491.44
Gujranwala,Operations,Webcam,335152.1
Gujranwala,Sales,Laptop,8073.27
Gujranwala,Sales,Monitor,396497.66000000003
Gujranwala,Sales,Mouse,79567.58
Gujranwala,Sales,Phone,147155.71
Gujranwala,Sales,Printer,56834.49
Gujranwala,Sales,Smartwatch,560791.1
Gujranwala,Sales,Tablet,670677.4199999999
Gujranwala,Sales,Webcam,85791.34
Islamabad,Finance,Keyboard,171015.64
Islamabad,Finance,Laptop,638489.66
Islamabad,Finance,Monitor,334353.5
Islamabad,Finance,Phone,378459.85
Islamabad,Finance,Printer,14722.1
Islamabad,Finance,Smartwatch,115981.54000000001
Islamabad,HR,Headphones,467967.93
Islamabad,HR,Keyboard,309012.06
Islamabad,HR,Laptop,241656.33
Islamabad,HR,Monitor,398774.99
Islamabad,HR,Mouse,144738.89
Islamabad,HR,Phone,111958.25
Islamabad,HR,Printer,221912.42
Islamabad,HR,Smartwatch,129034.17
Islamabad,HR,Tablet,52669.79
Islamabad,HR,Webcam,377757.44
Islamabad,IT,Laptop,230231.97000000003
Islamabad,IT,Monitor,209936.12
Islamabad,IT,Mouse,248037.84
Islamabad,IT,Phone,239376.38
Islamabad,IT,Printer,88236.64
Islamabad,IT,Smartwatch,196016.22999999998
Islamabad,IT,Tablet,565211.1
Islamabad,Marketing,Keyboard,72234.04
Islamabad,Marketing,Laptop,384016.75
Islamabad,Marketing,Monitor,174323.9
Islamabad,Marketing,Mouse,399957.34
Islamabad,Marketing,Printer,159261.64
Islamabad,Marketing,Smartwatch,244125.9
Islamabad,Marketing,Webcam,250315.08000000002
Islamabad,Operations,Headphones,479127.33
Islamabad,Operations,Keyboard,310135.38
Islamabad,Operations,Laptop,112534.92
Islamabad,Operations,Monitor,556.65
Islamabad,Operations,Mouse,33501.04
Islamabad,Operations,Phone,477856.11
Islamabad,Operations,Printer,31250.24
Islamabad,Operations,Smartwatch,121511.99
Islamabad,Operations,Webcam,184112.14
Islamabad,Sales,Headphones,433186.15
Islamabad,Sales,Keyboard,328193.67
Islamabad,Sales,Monitor,251572.68000000002
Islamabad,Sales,Mouse,123098.84
Islamabad,Sales,Phone,248935.75
Islamabad,Sales,Printer,183939.52
Islamabad,Sales,Smartwatch,201111.45
Islamabad,Sales,Tablet,379535.67
Islamabad,Sales,Webcam,500086.01
Karachi,Finance,Headphones,502086.99
Karachi,Finance,Keyboard,159612.3
Karachi,Finance,Laptop,222305.65
Karachi,Finance,Monitor,389910.15
Karachi,Finance,Mouse,540641.71
Karachi,Finance,Phone,571982.51
Karachi,Finance,Printer,134844.22999999998
Karachi,Finance,Smartwatch,450965.27
Karachi,Finance,Tablet,385471.37
Karachi,Finance,Webcam,356143.9
Karachi,HR,Headphones,21699.09
Karachi,HR,Keyboard,554750.41
Karachi,HR,Monitor,107204.58
Karachi,HR,Phone,295002.32
Karachi,HR,Printer,175616.0
Karachi,HR,Smartwatch,724510.29
Karachi,HR,Tablet,161155.04
Karachi,IT,Keyboard,412397.45
Karachi,IT,Laptop,271628.83999999997
Karachi,IT,Monitor,338292.48
Karachi,IT,Mouse,432965.69
Karachi,IT,Phone,124834.09
Karachi,IT,Smartwatch,321626.98
Karachi,IT,Webcam,40781.2
Karachi,Marketing,Headphones,67401.74
